runtime_in_min	tissue	chr	npheno
3.82	Colon_Sigmoid	6	1225
2.84	Colon_Sigmoid	7	1193
2.02	Colon_Sigmoid	8	865
2.05	Colon_Sigmoid	9	953
2.2	Colon_Sigmoid	10	950
2.9	Colon_Sigmoid	11	1329
2.99	Colon_Sigmoid	12	1333
1.09	Colon_Sigmoid	13	460
1.92	Colon_Sigmoid	14	805
1.88	Colon_Sigmoid	15	892
2.73	Colon_Sigmoid	16	1172
3.21	Colon_Sigmoid	17	1514
0.88	Colon_Sigmoid	18	373
4.31	Colon_Sigmoid	19	1656
1.44	Colon_Sigmoid	20	644
0.7	Colon_Sigmoid	21	289
1.44	Colon_Sigmoid	22	608
5.35	Esophagus_Gastroesophageal_Junction	1	2396
3.64	Esophagus_Gastroesophageal_Junction	2	1571
3.01	Esophagus_Gastroesophageal_Junction	3	1343
2.47	Esophagus_Gastroesophageal_Junction	4	905
2.58	Esophagus_Gastroesophageal_Junction	5	1131
3.97	Esophagus_Gastroesophageal_Junction	6	1211
2.78	Esophagus_Gastroesophageal_Junction	7	1174
2.09	Esophagus_Gastroesophageal_Junction	8	854
2.16	Esophagus_Gastroesophageal_Junction	9	938
2.46	Esophagus_Gastroesophageal_Junction	10	937
3	Esophagus_Gastroesophageal_Junction	11	1313
3.08	Esophagus_Gastroesophageal_Junction	12	1316
1.15	Esophagus_Gastroesophageal_Junction	13	461
2.01	Esophagus_Gastroesophageal_Junction	14	786
1.99	Esophagus_Gastroesophageal_Junction	15	883
2.7	Esophagus_Gastroesophageal_Junction	16	1151
3.27	Esophagus_Gastroesophageal_Junction	17	1481
0.99	Esophagus_Gastroesophageal_Junction	18	375
4.4	Esophagus_Gastroesophageal_Junction	19	1628
1.47	Esophagus_Gastroesophageal_Junction	20	629
0.74	Esophagus_Gastroesophageal_Junction	21	283
1.48	Esophagus_Gastroesophageal_Junction	22	598
7.69	Esophagus_Mucosa	1	2404
5.15	Esophagus_Mucosa	2	1572
4.54	Esophagus_Mucosa	3	1318
3.33	Esophagus_Mucosa	4	880
3.62	Esophagus_Mucosa	5	1068
5.98	Esophagus_Mucosa	6	1197
4.1	Esophagus_Mucosa	7	1152
3.14	Esophagus_Mucosa	8	856
3.06	Esophagus_Mucosa	9	903
3.3	Esophagus_Mucosa	10	922
4.35	Esophagus_Mucosa	11	1289
4.44	Esophagus_Mucosa	12	1295
1.61	Esophagus_Mucosa	13	437
3.09	Esophagus_Mucosa	14	825
2.82	Esophagus_Mucosa	15	850
4.05	Esophagus_Mucosa	16	1157
5.29	Esophagus_Mucosa	17	1525
1.42	Esophagus_Mucosa	18	385
6.56	Esophagus_Mucosa	19	1632
2.15	Esophagus_Mucosa	20	621
1.05	Esophagus_Mucosa	21	284
2.36	Esophagus_Mucosa	22	630
7.29	Esophagus_Muscularis	1	2371
4.93	Esophagus_Muscularis	2	1552
4.33	Esophagus_Muscularis	3	1334
3.27	Esophagus_Muscularis	4	894
3.68	Esophagus_Muscularis	5	1105
5.83	Esophagus_Muscularis	6	1192
4	Esophagus_Muscularis	7	1160
2.99	Esophagus_Muscularis	8	845
3.06	Esophagus_Muscularis	9	922
3.22	Esophagus_Muscularis	10	926
4.29	Esophagus_Muscularis	11	1300
4.29	Esophagus_Muscularis	12	1292
1.59	Esophagus_Muscularis	13	448
2.79	Esophagus_Muscularis	14	783
2.83	Esophagus_Muscularis	15	870
3.91	Esophagus_Muscularis	16	1145
4.68	Esophagus_Muscularis	17	1454
1.29	Esophagus_Muscularis	18	366
6.51	Esophagus_Muscularis	19	1632
2.13	Esophagus_Muscularis	20	623
1.02	Esophagus_Muscularis	21	279
2.17	Esophagus_Muscularis	22	596
5.61	Heart_Atrial_Appendage	1	2302
3.69	Heart_Atrial_Appendage	2	1531
3.2	Heart_Atrial_Appendage	3	1298
2.43	Heart_Atrial_Appendage	4	868
3.21	Heart_Atrial_Appendage	5	1098
4.1	Heart_Atrial_Appendage	6	1162
3.07	Heart_Atrial_Appendage	7	1098
2.2	Heart_Atrial_Appendage	8	815
2.53	Heart_Atrial_Appendage	9	903
2.45	Heart_Atrial_Appendage	10	909
3.17	Heart_Atrial_Appendage	11	1256
3.22	Heart_Atrial_Appendage	12	1261
1.31	Heart_Atrial_Appendage	13	433
2.39	Heart_Atrial_Appendage	14	765
2.37	Heart_Atrial_Appendage	15	846
2.8	Heart_Atrial_Appendage	16	1102
3.54	Heart_Atrial_Appendage	17	1406
1.04	Heart_Atrial_Appendage	18	357
4.83	Heart_Atrial_Appendage	19	1587
1.75	Heart_Atrial_Appendage	20	586
0.75	Heart_Atrial_Appendage	21	262
1.59	Heart_Atrial_Appendage	22	590
5.38	Heart_Left_Ventricle	1	2141
3.58	Heart_Left_Ventricle	2	1386
3.14	Heart_Left_Ventricle	3	1204
2.34	Heart_Left_Ventricle	4	783
2.67	Heart_Left_Ventricle	5	988
4.18	Heart_Left_Ventricle	6	1084
2.83	Heart_Left_Ventricle	7	1019
2.19	Heart_Left_Ventricle	8	763
2.25	Heart_Left_Ventricle	9	839
2.36	Heart_Left_Ventricle	10	834
3.12	Heart_Left_Ventricle	11	1174
3.11	Heart_Left_Ventricle	12	1143
1.09	Heart_Left_Ventricle	13	379
2.06	Heart_Left_Ventricle	14	700
1.94	Heart_Left_Ventricle	15	748
2.8	Heart_Left_Ventricle	16	1023
3.42	Heart_Left_Ventricle	17	1318
0.92	Heart_Left_Ventricle	18	320
4.68	Heart_Left_Ventricle	19	1491
1.52	Heart_Left_Ventricle	20	554
0.67	Heart_Left_Ventricle	21	239
1.57	Heart_Left_Ventricle	22	542
1.45	Kidney_Cortex	1	2448
1.03	Kidney_Cortex	2	1639
0.84	Kidney_Cortex	3	1356
0.64	Kidney_Cortex	4	930
0.81	Kidney_Cortex	5	1158
1.09	Kidney_Cortex	6	1251
0.79	Kidney_Cortex	7	1216
0.71	Kidney_Cortex	8	869
0.61	Kidney_Cortex	9	966
0.63	Kidney_Cortex	10	972
0.84	Kidney_Cortex	11	1345
0.88	Kidney_Cortex	12	1347
0.36	Kidney_Cortex	13	453
0.7	Kidney_Cortex	14	846
0.54	Kidney_Cortex	15	874
